OG Link,Shortened Link (sorted alphabetically),Duplicate?,base_url,duplicated
https://www.proquest.com/docview/2867916251/abstract/39C38B9E225B4415PQ/1027?accountid=14771&sourcetype=Scholarly%20Journals,https://www.proquest.com/docview/2867916251,Unique,https://www.proquest.com/docview/2867916251,Unique
https://www.proquest.com/docview/2869472774/citation/7575FAA4955647FEPQ/444?accountid=14771,https://www.proquest.com/docview/2869472774,Duplicate,https://www.proquest.com/docview/2869472774,Duplicate
https://www.proquest.com/docview/2869472774/abstract/39C38B9E225B4415PQ/531?accountid=14771&sourcetype=Scholarly%20Journals,https://www.proquest.com/docview/2869472774,Duplicate,https://www.proquest.com/docview/2869472774,Duplicate
https://www.proquest.com/docview/2869472774/abstract/E6880F222B744002PQ/1861?accountid=14771,https://www.proquest.com/docview/2869472774,Duplicate,https://www.proquest.com/docview/2869472774,Duplicate
https://www.proquest.com/docview/2869472774/abstract/699ED3E543144D9EPQ/1377?accountid=14771,https://www.proquest.com/docview/2869472774,Duplicate,https://www.proquest.com/docview/2869472774,Duplicate
https://www.proquest.com/docview/2870101217/citation/278790EACCE54AA6PQ/274?accountid=14771,https://www.proquest.com/docview/2870101217,Duplicate,https://www.proquest.com/docview/2870101217,Duplicate
https://www.proquest.com/docview/2870101217/citation/7575FAA4955647FEPQ/1500?accountid=14771,https://www.proquest.com/docview/2870101217,Duplicate,https://www.proquest.com/docview/2870101217,Duplicate
https://www.proquest.com/docview/2878156330/abstract/39C38B9E225B4415PQ/936?accountid=14771&sourcetype=Scholarly%20Journals,https://www.proquest.com/docview/2878156330,Duplicate,https://www.proquest.com/docview/2878156330,Duplicate
https://www.proquest.com/docview/2878156330/abstract/B74393533E064F01PQ/746?accountid=14771,https://www.proquest.com/docview/2878156330,Duplicate,https://www.proquest.com/docview/2878156330,Duplicate
https://www.proquest.com/docview/2878156330/abstract/7575FAA4955647FEPQ/578?accountid=14771,https://www.proquest.com/docview/2878156330,Duplicate,https://www.proquest.com/docview/2878156330,Duplicate
https://www.proquest.com/docview/2883514448/abstract/39C38B9E225B4415PQ/1026?accountid=14771,https://www.proquest.com/docview/2883514448,Duplicate,https://www.proquest.com/docview/2883514448,Duplicate
https://www.proquest.com/docview/2883514448/citation/7575FAA4955647FEPQ/744?accountid=14771,https://www.proquest.com/docview/2883514448,Duplicate,https://www.proquest.com/docview/2883514448,Duplicate
https://www.proquest.com/docview/2888376369/abstract/278790EACCE54AA6PQ/608?accountid=14771,https://www.proquest.com/docview/2888376369,Unique,https://www.proquest.com/docview/2888376369,Unique
https://www.proquest.com/docview/2890444512/citation/39C38B9E225B4415PQ/750?accountid=14771,https://www.proquest.com/docview/2890444512,Duplicate,https://www.proquest.com/docview/2890444512,Duplicate
https://www.proquest.com/docview/2890444512/fulltextwithgraphics/B74393533E064F01PQ/665?accountid=14771,https://www.proquest.com/docview/2890444512,Duplicate,https://www.proquest.com/docview/2890444512,Duplicate
https://www.proquest.com/docview/2890444512/abstract/7575FAA4955647FEPQ/695?accountid=14771,https://www.proquest.com/docview/2890444512,Duplicate,https://www.proquest.com/docview/2890444512,Duplicate
https://www.proquest.com/docview/2894252872/abstract/39C38B9E225B4415PQ/902?accountid=14771&sourcetype=Working%20Papers,https://www.proquest.com/docview/2894252872,Unique,https://www.proquest.com/docview/2894252872,Unique
https://www.proquest.com/docview/2901470922/abstract/86C22B8B775042CFPQ/1202?accountid=14771,https://www.proquest.com/docview/2901470922,Unique,https://www.proquest.com/docview/2901470922,Unique
https://www.proquest.com/docview/2904920032/fulltext/699ED3E543144D9EPQ/416?accountid=14771,https://www.proquest.com/docview/2904920032,Duplicate,https://www.proquest.com/docview/2904920032,Duplicate
